Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price
Ascot Vale,3,h,S,Brad,4.3,3032.0,3.0,2.0,2.0,223.0,137.0,2010.0,Moonee Valley City Council,-37.77748,144.90652,Western Metropolitan,6567.0,1080000
Yallambie,4,h,S,Buckingham,15.0,3085.0,,,,,,,Banyule City Council,,,Northern Metropolitan,1369.0,760000
Footscray,2,u,PI,Sweeney,6.4,3011.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,7570.0,525000
Collingwood,1,u,VB,Collins,1.6,3066.0,1.0,1.0,1.0,2773.0,,2010.0,Yarra City Council,-37.802,144.9854,Northern Metropolitan,4553.0,440000
Ivanhoe,3,h,S,Nelson,7.8,3079.0,3.0,1.0,2.0,,,1940.0,Banyule City Council,-37.7602,145.0423,Eastern Metropolitan,5549.0,1611000
Melbourne,1,u,VB,Rendina,0.0,3000.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,17496.0,480000
Keilor East,3,h,S,Barry,11.7,3033.0,3.0,2.0,2.0,310.0,168.0,2010.0,Brimbank City Council,-37.74804,144.87039,Western Metropolitan,5629.0,990000
Kingsville,3,h,SP,Jas,6.4,3012.0,3.0,1.0,1.0,,168.0,1920.0,Maribyrnong City Council,-37.80742,144.88297,Western Metropolitan,1808.0,1160000
Albanvale,3,h,S,Ray,14.0,3021.0,3.0,1.0,2.0,529.0,,,Brimbank City Council,-37.7438,144.77059,Western Metropolitan,1899.0,526500
Malvern East,3,h,S,Marshall,11.2,3145.0,3.0,2.0,2.0,543.0,,,Stonnington City Council,-37.8691,145.0435,Southern Metropolitan,8801.0,2305000
Preston,2,t,S,Barry,8.4,3072.0,,,,,,,Darebin City Council,,,Northern Metropolitan,14577.0,600000
North Melbourne,2,u,SP,Jellis,1.8,3051.0,2.0,1.0,1.0,,71.0,1970.0,Melbourne City Council,-37.79874,144.94712,Northern Metropolitan,6821.0,542000
Preston,4,h,S,Nelson,8.4,3072.0,4.0,1.0,1.0,398.0,,,Darebin City Council,-37.73766,145.00947,Northern Metropolitan,14577.0,1165000
Oakleigh East,6,h,PI,Ray,12.3,3166.0,6.0,4.0,3.0,1063.0,,,Monash City Council,-37.909,145.12059,Southern Metropolitan,2547.0,1900000
Brunswick,3,h,S,Nelson,5.2,3056.0,3.0,1.0,1.0,316.0,132.0,1910.0,Moreland City Council,-37.7741,144.9703,Northern Metropolitan,11918.0,1340000
Sunshine,5,h,SP,hockingstuart,10.5,3020.0,5.0,2.0,5.0,,,,Brimbank City Council,-37.78117,144.84419,Western Metropolitan,3755.0,710500
Vermont,3,h,S,Philip,17.2,3133.0,3.0,1.0,0.0,722.0,94.0,1960.0,Maroondah City Council,-37.8324,145.20467,Eastern Metropolitan,4181.0,1111500
Oak Park,3,h,SP,Brad,11.5,3046.0,3.0,1.0,3.0,763.0,93.0,1960.0,Moreland City Council,-37.7178,144.9121,Northern Metropolitan,2651.0,810000
Dallas,4,h,S,YPA,14.0,3047.0,,,,,,,Hume City Council,,,Northern Metropolitan,2246.0,535000
Endeavour Hills,4,h,SP,O'Brien,28.5,3802.0,4.0,2.0,2.0,669.0,165.0,1980.0,Casey City Council,-37.96466,145.27006,South-Eastern Metropolitan,8443.0,625000
Balwyn North,3,h,PI,Noel,9.2,3104.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,7809.0,1305000
Fawkner,3,h,S,Stockdale,13.1,3060.0,3.0,1.0,3.0,570.0,126.0,1968.0,Hume City Council,-37.70807,144.97282,Northern Metropolitan,5070.0,840000
Essendon North,3,h,S,Barry,9.4,3041.0,3.0,2.0,2.0,758.0,,,Moonee Valley City Council,-37.7401,144.9013,Western Metropolitan,1308.0,1580000
Highett,4,t,S,Charlton,16.0,3190.0,,,,,,,Bayside City Council,,,Southern Metropolitan,4794.0,1205000
Hampton,3,t,S,Buxton,13.7,3188.0,,,,,,,Bayside City Council,,,Southern Metropolitan,5454.0,1405000
Richmond,3,h,S,Dingle,2.6,3121.0,3.0,2.0,0.0,194.0,,,Yarra City Council,-37.8265,145.0022,Northern Metropolitan,14949.0,1102000
Reservoir,3,t,S,Barry,11.2,3073.0,3.0,2.0,2.0,213.0,1.0,2012.0,Darebin City Council,-37.7085,145.018,Northern Metropolitan,21650.0,815000
Surrey Hills,3,h,S,hockingstuart,10.2,3127.0,3.0,1.0,2.0,,140.0,1926.0,Boroondara City Council,-37.83189,145.10178,Southern Metropolitan,5457.0,1320000
Altona North,3,h,S,Jas,11.1,3025.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5132.0,911000
Toorak,2,u,PI,Williams,4.6,3142.0,2.0,1.0,1.0,0.0,,1970.0,Stonnington City Council,-37.8432,145.0137,Southern Metropolitan,7217.0,750000
Clifton Hill,4,h,S,Nelson,3.6,3068.0,4.0,1.0,2.0,453.0,,,Yarra City Council,-37.78894,145.00084,Northern Metropolitan,2954.0,2000000
Balwyn North,4,h,VB,Jellis,9.2,3104.0,3.0,2.0,5.0,754.0,175.0,1960.0,Boroondara City Council,-37.786,145.0886,Southern Metropolitan,7809.0,1700000
Burwood,3,u,SP,Ray,10.4,3125.0,,,,,,,Monash City Council,,,Southern Metropolitan,5678.0,950000
Glenroy,2,h,S,Stockdale,13.0,3046.0,2.0,1.0,1.0,172.0,77.0,2013.0,Moreland City Council,-37.7074,144.9086,Northern Metropolitan,8870.0,417000
Carnegie,3,h,PI,Ray,11.4,3163.0,3.0,2.0,1.0,390.0,,,Glen Eira City Council,-37.8905,145.0518,Southern Metropolitan,7822.0,1000000
Burwood,3,h,S,Buxton,10.4,3125.0,3.0,2.0,1.0,392.0,130.0,1950.0,Monash City Council,-37.84429,145.10199,Southern Metropolitan,5678.0,1217000
Hawthorn East,2,h,S,Marshall,6.2,3123.0,2.0,1.0,0.0,206.0,72.0,1930.0,Boroondara City Council,-37.82224,145.05763,Southern Metropolitan,6482.0,1055000
Reservoir,3,h,S,Barry,12.0,3073.0,3.0,1.0,2.0,695.0,,,Darebin City Council,-37.69618,145.01289,Northern Metropolitan,21650.0,901000
Hawthorn East,2,u,VB,Jellis,6.2,3123.0,2.0,1.0,1.0,0.0,,1955.0,Boroondara City Council,-37.82465,145.05092,Southern Metropolitan,6482.0,400000
Heidelberg,4,u,S,Philip,10.6,3084.0,4.0,3.0,2.0,152.0,,1980.0,Banyule City Council,-37.7505,145.0703,Eastern Metropolitan,2890.0,610000
Essendon,1,u,VB,Brad,8.0,3040.0,1.0,1.0,1.0,0.0,125.0,1970.0,Moonee Valley City Council,-37.7523,144.9221,Western Metropolitan,9264.0,250000
Coburg,4,h,S,Hodges,7.8,3058.0,4.0,1.0,4.0,531.0,187.0,1925.0,Darebin City Council,-37.7473,144.9528,Northern Metropolitan,11204.0,1075000
Altona Meadows,4,h,S,MICM,15.5,3028.0,4.0,1.0,1.0,484.0,100.0,1995.0,Hobsons Bay City Council,-37.87373,144.77972,Western Metropolitan,7630.0,600000
Essendon North,2,h,S,Nelson,8.2,3041.0,2.0,1.0,2.0,516.0,,,Moonee Valley City Council,-37.7372,144.90133,Western Metropolitan,1308.0,992500
Mill Park,3,h,S,HAR,17.9,3082.0,3.0,1.0,2.0,375.0,116.0,1980.0,Whittlesea City Council,-37.6734,145.0695,Northern Metropolitan,10529.0,665000
North Melbourne,2,h,S,JMRE,2.3,3051.0,2.0,1.0,0.0,89.0,65.0,1890.0,Melbourne City Council,-37.9394,145.089,Northern Metropolitan,6821.0,940000
Wollert,4,h,S,hockingstuart,25.5,3750.0,4.0,2.0,2.0,512.0,210.0,2014.0,Whittlesea City Council,-37.61177,145.03887,Northern Metropolitan,2940.0,740000
Bundoora,5,h,S,Ray,12.1,3083.0,5.0,2.0,1.0,,,,Banyule City Council,-37.7053,145.0621,Northern Metropolitan,10175.0,800000
Keysborough,3,h,S,Barry,25.2,3173.0,3.0,2.0,1.0,535.0,,,Greater Dandenong City Council,-37.9831,145.1666,South-Eastern Metropolitan,8459.0,792000
Mulgrave,4,h,S,Buxton,18.8,3170.0,4.0,2.0,2.0,692.0,686.0,,Monash City Council,-37.93712,145.20447,South-Eastern Metropolitan,7113.0,1019500
Murrumbeena,3,u,SP,Matthew,12.1,3163.0,3.0,1.0,1.0,181.0,104.0,1975.0,Glen Eira City Council,-37.8966,145.0737,Southern Metropolitan,4442.0,835000
Kensington,2,h,S,Rendina,4.2,3031.0,2.0,1.0,0.0,184.0,,,Melbourne City Council,-37.7964,144.9339,Northern Metropolitan,5263.0,903000
Murrumbeena,3,h,VB,Woodards,10.1,3163.0,3.0,1.0,1.0,,,,Glen Eira City Council,-37.90404,145.06619,Southern Metropolitan,4442.0,1550000
Glenroy,2,u,S,Barry,11.2,3046.0,2.0,1.0,2.0,,107.0,1960.0,Moreland City Council,-37.70162,144.91725,Northern Metropolitan,8870.0,379500
Mount Waverley,3,h,S,Ray,14.2,3149.0,,,,,,,Monash City Council,,,Eastern Metropolitan,13366.0,1411000
Keilor East,3,h,S,Brad,12.8,3033.0,3.0,2.0,2.0,700.0,126.0,1980.0,Brimbank City Council,-37.7322,144.8722,Western Metropolitan,5629.0,835000
Northcote,2,h,S,Love,5.3,3070.0,2.0,1.0,0.0,270.0,,,Darebin City Council,-37.77816,144.99995,Northern Metropolitan,11364.0,1386000
Pascoe Vale,4,t,S,Barry,8.5,3044.0,,,,,,,Moreland City Council,,,Northern Metropolitan,7485.0,882000
Carrum,3,h,S,Ray,31.2,3197.0,3.0,1.0,2.0,538.0,,,Kingston City Council,-38.07405,145.13211,South-Eastern Metropolitan,1989.0,881000
Meadow Heights,3,h,S,YPA,17.4,3048.0,3.0,1.0,2.0,578.0,102.0,1990.0,Hume City Council,-37.64705,144.91541,Northern Metropolitan,4704.0,525000
Sunshine,3,h,S,FN,12.6,3020.0,3.0,1.0,1.0,485.0,,,Brimbank City Council,-37.7868,144.8428,Western Metropolitan,3755.0,692000
Glenroy,4,h,S,Burnham,13.0,3046.0,4.0,2.0,4.0,1011.0,,,Moreland City Council,-37.712,144.9127,Northern Metropolitan,8870.0,1025000
Reservoir,3,u,PI,Ray,11.2,3073.0,3.0,1.0,1.0,172.0,97.0,1970.0,Darebin City Council,-37.7092,145.0274,Northern Metropolitan,21650.0,400000
West Footscray,4,h,VB,Biggin,6.4,3012.0,4.0,2.0,3.0,,238.0,1926.0,Maribyrnong City Council,-37.7936,144.86437,Western Metropolitan,5058.0,1600000
Frankston,4,h,VB,hockingstuart,38.0,3199.0,4.0,2.0,3.0,767.0,210.0,1980.0,Frankston City Council,-38.16147,145.14285,South-Eastern Metropolitan,17055.0,680000
Taylors Lakes,5,h,S,Barry,15.5,3038.0,5.0,2.0,2.0,705.0,,,Brimbank City Council,-37.69403,144.79418,Western Metropolitan,5336.0,805000
South Yarra,2,u,S,Marshall,2.7,3141.0,,,,,,,Melbourne City Council,,,Southern Metropolitan,14887.0,1300000
Malvern,2,u,S,Noel,7.4,3144.0,2.0,1.0,2.0,0.0,,1970.0,Stonnington City Council,-37.854,145.041,Southern Metropolitan,4675.0,569000
Windsor,2,h,S,Marshall,5.1,3181.0,2.0,1.0,2.0,118.0,,1993.0,Port Phillip City Council,-37.855,144.9961,Southern Metropolitan,4380.0,1045000
Thornbury,2,h,S,Nelson,7.0,3071.0,2.0,1.0,3.0,667.0,100.0,1955.0,Darebin City Council,-37.75503,145.01805,Northern Metropolitan,8870.0,1170000
Malvern East,4,h,S,RT,11.2,3145.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,8801.0,2360000
Clifton Hill,3,t,PI,Jellis,3.4,3068.0,,,,,,,Yarra City Council,,,Northern Metropolitan,2954.0,841000
Bundoora,4,h,S,Ray,12.1,3083.0,,,,,,,Banyule City Council,,,Northern Metropolitan,10175.0,970000
Camberwell,4,h,S,Marshall,7.8,3124.0,4.0,2.0,1.0,790.0,251.0,1890.0,Boroondara City Council,-37.8269,145.0661,Southern Metropolitan,8920.0,3550000
Forest Hill,6,h,S,Ray,15.4,3131.0,6.0,3.0,2.0,586.0,,,Whitehorse City Council,-37.8413,145.1795,Eastern Metropolitan,4385.0,1620000
Brunswick West,2,u,S,Walshe,5.2,3055.0,,,,,,,Moreland City Council,,,Northern Metropolitan,7082.0,560000
Oakleigh,3,t,SP,Barry,14.0,3166.0,,,,,,,Monash City Council,,,Southern Metropolitan,3224.0,900000
Aspendale,3,h,PI,Barry,21.5,3195.0,3.0,1.0,2.0,526.0,,,Kingston City Council,-38.0311,145.10529,South-Eastern Metropolitan,2824.0,960000
Maidstone,3,h,S,Biggin,9.2,3012.0,3.0,1.0,2.0,625.0,,,Maribyrnong City Council,-37.7876,144.8752,Western Metropolitan,3873.0,873000
Reservoir,4,h,S,hockingstuart,11.2,3073.0,4.0,2.0,2.0,696.0,142.0,1965.0,Darebin City Council,-37.7074,145.0276,Northern Metropolitan,21650.0,905000
Glenroy,3,h,S,Stockdale,13.0,3046.0,3.0,1.0,4.0,541.0,139.0,1968.0,Moreland City Council,-37.7051,144.9069,Northern Metropolitan,8870.0,600000
Hawthorn East,1,u,VB,Jellis,6.2,3123.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,6482.0,390000
Bulleen,3,h,PI,Fletchers,11.8,3105.0,3.0,2.0,1.0,728.0,719.0,1965.0,Manningham City Council,-37.7765,145.1031,Eastern Metropolitan,4480.0,1050000
Mount Waverley,4,h,S,Jellis,14.2,3149.0,,,,,,,Monash City Council,,,Eastern Metropolitan,13366.0,1523000
Fairfield,2,h,S,Love,5.7,3078.0,2.0,1.0,1.0,,,,Darebin City Council,-37.76732,145.02028,Northern Metropolitan,2970.0,1428000
Epping,3,h,S,Barry,19.6,3076.0,3.0,2.0,2.0,,,,Whittlesea City Council,-37.62613,145.01802,Northern Metropolitan,10926.0,620000
Carlton North,3,u,VB,Peter,3.5,3054.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,3106.0,650000
Kilsyth,3,h,S,Philip,26.0,3137.0,3.0,2.0,2.0,,123.0,1970.0,Maroondah City Council,-37.79743,145.32188,Eastern Metropolitan,4654.0,651000
Williamstown,5,h,S,Sweeney,6.8,3016.0,5.0,2.0,2.0,646.0,,,Hobsons Bay City Council,-37.86253,144.88748,Western Metropolitan,6380.0,2760000
Beaumaris,4,t,S,Bayside,17.3,3193.0,4.0,2.0,4.0,,,,Bayside City Council,-37.9882,145.0446,Southern Metropolitan,5366.0,1500000
Wollert,4,h,S,hockingstuart,25.5,3750.0,,,,,,,Whittlesea City Council,,,Northern Metropolitan,2940.0,592000
Cheltenham,3,h,VB,Greg,17.9,3192.0,3.0,2.0,2.0,488.0,,,Bayside City Council,-37.95187,145.05844,Southern Metropolitan,9758.0,950000
Flemington,1,u,VB,Nelson,3.4,3031.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,3593.0,285000
Oak Park,3,t,SP,Nelson,11.5,3046.0,3.0,2.0,2.0,264.0,,,Moreland City Council,-37.722,144.9192,Northern Metropolitan,2651.0,770000
Footscray,3,t,S,Jas,6.4,3011.0,3.0,2.0,2.0,112.0,168.0,2010.0,Maribyrnong City Council,-37.8001,144.8797,Western Metropolitan,7570.0,735000
Fairfield,3,h,S,Jellis,5.7,3078.0,3.0,2.0,0.0,478.0,,,Darebin City Council,-37.78022,145.01771,Northern Metropolitan,2970.0,1550000
Collingwood,3,t,SP,Nelson,1.6,3066.0,3.0,2.0,2.0,0.0,151.0,2000.0,Yarra City Council,-37.8083,144.9908,Northern Metropolitan,4553.0,1125000
Blackburn,3,t,VB,Fletchers,13.4,3130.0,,,,,,,Whitehorse City Council,,,Eastern Metropolitan,5713.0,800000
Fitzroy North,3,h,S,Nelson,3.5,3068.0,2.0,1.0,1.0,378.0,,,Moreland City Council,-37.7739,144.9819,Northern Metropolitan,6244.0,1141000
Bentleigh East,4,t,S,Jellis,13.8,3165.0,4.0,3.0,2.0,,,1990.0,Glen Eira City Council,-37.9196,145.077,Southern Metropolitan,10969.0,1230000
Coburg North,3,h,S,Ray,6.7,3058.0,3.0,2.0,2.0,677.0,110.0,1960.0,Darebin City Council,-37.72361,144.9837,Northern Metropolitan,3445.0,865000
Reservoir,3,h,VB,Nelson,12.0,3073.0,,,,,,,Darebin City Council,-37.72508,144.9929,Northern Metropolitan,21650.0,800000
Fitzroy,3,h,S,Nelson,1.6,3065.0,3.0,2.0,2.0,0.0,137.0,2004.0,Yarra City Council,-37.8029,144.975,Northern Metropolitan,5825.0,1252000
Springvale South,3,h,SP,Harcourts,22.2,3172.0,3.0,1.0,4.0,754.0,,,Greater Dandenong City Council,-37.9655,145.1513,South-Eastern Metropolitan,4054.0,833000
Melbourne,1,u,SA,hockingstuart,0.0,3000.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,17496.0,605000
Newport,2,h,SP,Williams,8.4,3015.0,2.0,1.0,0.0,168.0,90.0,1900.0,Hobsons Bay City Council,-37.8475,144.8897,Western Metropolitan,5498.0,890000
South Yarra,3,u,S,Biggin,3.3,3141.0,3.0,1.0,1.0,0.0,,1970.0,Melbourne City Council,-37.8376,145.0012,Southern Metropolitan,14887.0,740000
Armadale,2,u,S,hockingstuart,6.3,3143.0,2.0,1.0,1.0,0.0,,,Stonnington City Council,-37.85749,145.01735,Southern Metropolitan,4836.0,631500
Melbourne,1,u,VB,Whiting,2.8,3000.0,1.0,1.0,0.0,0.0,52.0,2000.0,Melbourne City Council,-37.8199,144.9558,Northern Metropolitan,17496.0,275000
Fitzroy,1,u,SP,hockingstuart,2.1,3065.0,1.0,1.0,1.0,0.0,51.0,2011.0,Yarra City Council,-37.79636,144.98394,Northern Metropolitan,5825.0,456000
South Morang,3,h,S,HAR,20.5,3752.0,3.0,2.0,2.0,348.0,140.0,1995.0,Whittlesea City Council,-37.63423,145.06856,Northern Metropolitan,7969.0,612000
Camberwell,3,t,S,Marshall,7.8,3124.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,8920.0,1500000
Thornbury,2,u,S,Nelson,6.5,3071.0,2.0,1.0,1.0,0.0,66.0,1960.0,Darebin City Council,-37.761,145.0055,Northern Metropolitan,8870.0,486000
Camberwell,5,h,VB,Marshall,7.7,3124.0,5.0,2.0,0.0,633.0,,1939.0,Boroondara City Council,-37.84115,145.0743,Southern Metropolitan,8920.0,2400000
Preston,3,h,PI,Barry,8.4,3072.0,3.0,1.0,1.0,428.0,,,Darebin City Council,-37.7449,144.9916,Northern Metropolitan,14577.0,1015000
Sunshine,3,u,S,Barry,12.6,3020.0,3.0,1.0,1.0,301.0,115.0,1950.0,Brimbank City Council,-37.7793,144.8427,Western Metropolitan,3755.0,490000
Ormond,4,h,PI,Woodards,11.4,3204.0,4.0,3.0,2.0,719.0,154.0,1920.0,Glen Eira City Council,-37.90087,145.03959,Southern Metropolitan,3578.0,1565000
Bentleigh East,2,h,S,Buxton,13.9,3165.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969.0,940000
Pakenham,4,h,S,O'Brien,47.3,3810.0,4.0,2.0,1.0,799.0,159.0,1970.0,Cardinia Shire Council,-38.07652,145.4779,Eastern Victoria,17384.0,571000
Fawkner,3,h,S,hockingstuart,12.4,3060.0,3.0,1.0,1.0,646.0,,,Hume City Council,-37.7086,144.9704,Northern Metropolitan,5070.0,691500
Footscray,3,h,S,Village,6.4,3011.0,3.0,1.0,1.0,0.0,141.0,2010.0,Maribyrnong City Council,-37.7962,144.8851,Western Metropolitan,7570.0,853000
Campbellfield,4,h,S,Stockdale,16.6,3061.0,4.0,1.0,2.0,660.0,,,Hume City Council,-37.67119,144.9525,Northern Metropolitan,1889.0,620000
Braybrook,3,h,S,Trimson,10.8,3019.0,3.0,1.0,1.0,471.0,,1960.0,Maribyrnong City Council,-37.7924,144.8523,Western Metropolitan,3589.0,570500
Moonee Ponds,4,h,S,Nelson,6.2,3039.0,4.0,2.0,2.0,,309.0,2008.0,Moonee Valley City Council,-37.76946,144.90662,Western Metropolitan,6232.0,1716000
Bentleigh,3,t,S,Buxton,13.0,3204.0,3.0,3.0,2.0,338.0,194.0,2012.0,Glen Eira City Council,-37.9166,145.0418,Southern Metropolitan,6795.0,1375000
Frankston North,3,h,S,Barry,36.9,3200.0,3.0,1.0,1.0,657.0,91.0,1975.0,Frankston City Council,-38.12023,145.15188,Eastern Victoria,2500.0,493000
Kensington,1,u,SP,Nelson,4.2,3031.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,5263.0,330000
Springvale,4,h,S,Leyton,20.8,3171.0,,,,,,,Greater Dandenong City Council,,,South-Eastern Metropolitan,7412.0,1005000
Heidelberg,4,h,PI,Miles,10.6,3084.0,4.0,3.0,2.0,952.0,,1967.0,Banyule City Council,-37.7511,145.0772,Eastern Metropolitan,2890.0,1450000
Williamstown,2,h,SA,Hunter,8.0,3016.0,2.0,2.0,1.0,193.0,,,Hobsons Bay City Council,-37.858,144.9005,Western Metropolitan,6380.0,895000
Sunshine West,3,h,VB,Jas,10.5,3020.0,3.0,1.0,2.0,557.0,,1970.0,Brimbank City Council,-37.79644,144.81212,Western Metropolitan,6763.0,690000
Craigieburn,3,h,S,LJ,20.6,3064.0,3.0,2.0,3.0,618.0,225.5,2014.0,Hume City Council,-37.59715,144.89656,Northern Metropolitan,15510.0,660000
Richmond,3,h,PI,Jellis,2.6,3121.0,3.0,1.0,2.0,204.0,128.0,1900.0,Yarra City Council,-37.8285,145.0022,Northern Metropolitan,14949.0,1275000
Brighton,4,h,S,hockingstuart,10.5,3186.0,4.0,4.0,2.0,920.0,,,Bayside City Council,-37.92304,145.00039,Southern Metropolitan,10579.0,4690000
Elwood,2,u,S,Chisholm,7.7,3184.0,2.0,1.0,1.0,2925.0,,,Port Phillip City Council,-37.8867,144.9836,Southern Metropolitan,8989.0,955000
Seddon,3,h,PI,Village,6.6,3011.0,3.0,3.0,2.0,227.0,211.0,2015.0,Maribyrnong City Council,-37.8033,144.8897,Western Metropolitan,2417.0,1350000
Sunbury,4,h,SP,YPA,31.7,3429.0,,,,,,,Hume City Council,,,Western Metropolitan,14092.0,585000
Port Melbourne,3,h,PI,hockingstuart,3.8,3207.0,,,,,,,Melbourne City Council,,,Southern Metropolitan,8648.0,1260000
Camberwell,4,h,S,Kay,7.7,3124.0,4.0,3.0,2.0,947.0,,,Boroondara City Council,-37.84457,145.06218,Southern Metropolitan,8920.0,4060000
Essendon,5,h,SP,Barry,7.5,3040.0,5.0,2.0,6.0,1012.0,222.0,1915.0,Moonee Valley City Council,-37.74967,144.8977,Western Metropolitan,9264.0,2335000
Oak Park,2,h,SP,Stockdale,11.2,3046.0,,,,,,,Moreland City Council,,,Northern Metropolitan,2651.0,480500
Preston,3,h,S,hockingstuart,8.8,3072.0,3.0,1.0,1.0,674.0,90.0,1955.0,Darebin City Council,-37.7341,145.0275,Northern Metropolitan,14577.0,910000
Cheltenham,2,u,S,O'Brien,17.9,3192.0,2.0,1.0,2.0,215.0,,1980.0,Bayside City Council,-37.96597,145.07535,Southern Metropolitan,9758.0,535000
Cairnlea,4,h,PI,Ray,14.8,3023.0,4.0,2.0,2.0,447.0,,,Brimbank City Council,-37.75637,144.77983,Western Metropolitan,2674.0,750000
Fawkner,3,u,S,Ray,12.4,3060.0,3.0,2.0,1.0,207.0,205.0,2007.0,Hume City Council,-37.7049,144.9631,Northern Metropolitan,5070.0,532000
Aberfeldie,2,u,S,Brad,9.1,3040.0,2.0,1.0,1.0,976.0,71.0,2000.0,Moonee Valley City Council,-37.7557,144.9037,Western Metropolitan,1543.0,470000
Balwyn,3,h,S,North,9.7,3103.0,3.0,3.0,2.0,651.0,266.0,,Boroondara City Council,-37.8085,145.0764,Southern Metropolitan,5682.0,2200000
Cranbourne,3,h,S,Asset,34.7,3977.0,,,,,,,Casey City Council,,,South-Eastern Metropolitan,7680.0,490000
Essendon,3,h,PI,Paul,8.0,3040.0,3.0,1.0,2.0,388.0,,1910.0,Moonee Valley City Council,-37.7508,144.9163,Western Metropolitan,9264.0,1475000
Braybrook,3,h,S,Jas,10.8,3019.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,3589.0,600000
Meadow Heights,3,h,S,YPA,17.4,3048.0,3.0,2.0,2.0,748.0,136.0,1990.0,Hume City Council,-37.64477,144.92889,Northern Metropolitan,4704.0,525000
Burwood,4,h,S,Buxton,11.7,3125.0,,,,,,,Monash City Council,,,Southern Metropolitan,5678.0,1235000
Toorak,3,h,S,Kay,4.6,3142.0,3.0,1.0,0.0,222.0,118.0,1920.0,Stonnington City Council,-37.8448,145.0055,Southern Metropolitan,7217.0,1689000
Toorak,3,u,S,Jellis,4.6,3142.0,4.0,2.0,2.0,0.0,185.0,2014.0,Stonnington City Council,-37.8512,145.0282,Southern Metropolitan,7217.0,2205000
Richmond,4,h,S,hockingstuart,2.6,3121.0,4.0,2.0,2.0,58.0,158.0,2007.0,Yarra City Council,-37.817,145.0135,Northern Metropolitan,14949.0,1375000
Armadale,2,h,S,Jellis,6.3,3143.0,2.0,2.0,2.0,,,,Stonnington City Council,-37.85145,145.01785,Southern Metropolitan,4836.0,1669000
Heathmont,5,h,SP,Barry,21.3,3135.0,5.0,3.0,2.0,779.0,,1975.0,Maroondah City Council,-37.83015,145.24171,Eastern Metropolitan,3794.0,1825000
Moonee Ponds,2,u,S,O'Brien,6.2,3039.0,2.0,1.0,1.0,,64.0,1980.0,Moonee Valley City Council,-37.76044,144.91901,Western Metropolitan,6232.0,450000
Preston,3,h,S,Jellis,8.8,3072.0,,,,,,,Darebin City Council,,,Northern Metropolitan,14577.0,904000
Avondale Heights,3,h,S,Nelson,10.5,3034.0,3.0,2.0,2.0,593.0,103.0,1970.0,Moonee Valley City Council,-37.7607,144.8581,Western Metropolitan,4502.0,805000
Wheelers Hill,4,h,S,Barry,16.7,3150.0,4.0,2.0,2.0,770.0,,,Monash City Council,-37.91637,145.18062,South-Eastern Metropolitan,7392.0,936000
Donvale,3,h,S,Barry,16.1,3111.0,3.0,2.0,2.0,694.0,,,Manningham City Council,-37.80224,145.17505,Eastern Metropolitan,4790.0,1262000
Coburg,2,h,S,hockingstuart,7.8,3058.0,2.0,1.0,1.0,0.0,,,Darebin City Council,-37.7358,144.9801,Northern Metropolitan,11204.0,550000
Collingwood,2,u,S,Jellis,2.0,3066.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4553.0,1287000
Coburg,3,h,VB,Nelson,6.7,3058.0,3.0,2.0,1.0,387.0,,,Darebin City Council,-37.73367,144.95687,Northern Metropolitan,11204.0,1100000
Brighton,3,h,PI,Biggin,10.5,3186.0,3.0,1.0,3.0,284.0,120.0,1970.0,Bayside City Council,-37.91155,145.00657,Southern Metropolitan,10579.0,1175000
Croydon,3,h,SP,Fletchers,23.0,3136.0,3.0,2.0,2.0,269.0,150.0,2007.0,Maroondah City Council,-37.78499,145.2647,Eastern Metropolitan,11925.0,730000
Flemington,3,h,S,Nelson,4.4,3031.0,3.0,1.0,0.0,294.0,140.0,1900.0,Melbourne City Council,-37.7856,144.9292,Northern Metropolitan,3593.0,1130000
Bulleen,4,h,S,Purplebricks,10.8,3105.0,4.0,2.0,2.0,602.0,170.0,1970.0,Manningham City Council,-37.76012,145.0854,Eastern Metropolitan,4480.0,1240000
Balwyn,3,h,VB,Nelson,7.9,3103.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,5682.0,1650000
Balaclava,4,h,S,Gary,6.6,3183.0,3.0,2.0,1.0,244.0,180.0,1900.0,Port Phillip City Council,-37.8668,144.9928,Southern Metropolitan,2952.0,1819000
Niddrie,3,h,S,Nelson,10.4,3042.0,3.0,1.0,2.0,577.0,,,Moonee Valley City Council,-37.73521,144.87709,Western Metropolitan,2291.0,980000
